time,DJint,DJint_2,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,1.6940658945086e-20,1.6899529834597e-22,40.355172788133,-1.6940658945086e-21,0.0014992554519904,0.0049337212102795,0.00049076655838214,1.8811984188032e-05,0.028141501455707,0.0036967456605922,0.0035176876819634,0.00099461825361834
0.5,1.6263032587283e-19,-2.1451109389215e-19,99.926679008223,-3.3881317890172e-20,0.0080448777526746,0.0049337212102795,0.0026378935343695,5.262013723666e-05,0.026349005189706,0.010214309477136,0.01032900101264,0.0048269491138374
0.75,-2.9815559743351e-19,6.8863778611775e-19,110.47619749945,-2.7105054312138e-20,0.01405373295213,0.0049337212102795,0.005369640659028,8.1742952843199e-05,0.017071426521248,0.015625094955543,0.015756554976509,0.0073571410514213
1,-6.7762635780344e-19,3.4728350837426e-19,94.318795434095,-2.5749801596531e-19,0.018802983903611,0.0049337212102795,0.0081146046505687,0.00010874721624167,0.022417849950808,0.020633984720507,0.020692714535516,0.0096217328927263
1.25,2.168404344971e-19,-3.7269449679189e-19,98.008295472754,1.3552527156069e-20,0.024561480171697,0.0049337212102795,0.010873631913249,0.00013929599517594,0.024949000526566,0.026479561315654,0.026613570845188,0.012667760666879
1.5,6.505213034913e-19,-5.7259427234391e-19,104.42301954738,-5.4210108624275e-20,0.030476032712953,0.0049337212102795,0.013622158266256,0.00016877496036483,0.020662482256777,0.032114760247373,0.032315006193106,0.015513047158288
1.75,1.0842021724855e-19,6.6746196243639e-19,98.818047699932,1.8973538018496e-19,0.035691347522516,0.0049337212102795,0.016384888370624,0.00019667760677554,0.021217817977642,0.037365124762568,0.037550043722408,0.017992041384536
2,-6.505213034913e-19,4.2351647362715e-19,97.785898150206,-2.168404344971e-19,0.04117535384257,0.0049337212102795,0.019146243349982,0.00022612524806005,0.023634060468531,0.042944434634405,0.04315652852818,0.020779516118505
2.25,0,6.5729756706934e-19,101.86177635765,2.4394548880924e-19,0.046969285742574,0.0049337212102795,0.021911045225511,0.00025576756609125,0.022102049346899,0.048603471317289,0.048873542255109,0.023664459362893
2.5,6.505213034913e-19,-4.336808689942e-19,100.43747129121,2.168404344971e-19,0.052432503900238,0.0049337212102795,0.024680814695617,0.00028427477070017,0.021319230166434,0.054014969317636,0.054301202194275,0.026293325461443
2.75,2.168404344971e-18,-2.0532078641444e-18,98.505240650146,3.7947076036993e-19,0.057868601909388,0.0049337212102795,0.027451196622179,0.00031320862269515,0.022735140392629,0.059505198866189,0.059807998514158,0.029001723983256
