time,DJint,DJint_over_Jint,Jint,dt,external_work,kinetic_energy,preset_ext_work,strain_energy,tip,tip_adv,tip_cum,tip_vel
0,0,0,0,0,0,0,0,0,50,0,0,0
0.2,-6.3211527754747e-17,-1.1886876602794,5.3177575461572e-17,0.2,0.0004619656455218,0.00019148212530044,0.0013591912602658,0.0003283376283913,50,0,0,0
0.4,-3.7730235602496e-16,-0.76298011702317,4.9451138713422e-16,0.2,0.0028568045248708,0.0010402634436209,0.003937813925822,0.0018616712172914,50,0,0,0
0.6,-5.6440176967806e-16,-0.66165144756859,8.5301977612549e-16,0.2,0.0053734433741279,0.0020861942210568,0.0061481157879944,0.0029534376531991,50,0,0,0
0.8,7.7557047156035e-16,0.74419360711592,1.0421622332474e-15,0.2,0.0071610580706927,0.0031597242463016,0.0079792334120569,0.0037378973928636,50,0,0,0
1,2.0533840469975e-15,1.7508768077841,1.172774713714e-15,0.2,0.0092106182470289,0.0042224514357508,0.010165825494102,0.0048165565464843,50,0,0,0
1.2,1.8140599699484e-15,1.6404078531337,1.1058591108809e-15,0.2,0.011639274242289,0.0052903312349439,0.012486983289109,0.006079840422554,50,0,0,0
1.4,9.5859735080306e-16,0.9406976898831,1.019028069392e-15,0.2,0.013772074008995,0.0063615910498666,0.014539518315898,0.007038516300513,50,0,0,0
1.6,1.06688204278e-15,0.86468733867159,1.2338356248157e-15,0.2,0.015737118383952,0.0074300738988182,0.01657266580385,0.0080009717343601,50,0,0,0
1.8,2.3343956975785e-15,1.4230549978933,1.6404114394977e-15,0.2,0.017944166476581,0.0085051887026167,0.018800362447952,0.0091452683806018,50,0,0,0
2,3.8909305465074e-15,2.1228612413304,1.8328708776411e-15,0.2,0.020217402529998,0.0095767260519989,0.020994186869631,0.010261710295337,50,0,0,0
2.2,5.2408164613604e-15,2.85142090283,1.8379666278517e-15,0.2,0.022296078994713,0.01065392753051,0.023058310345459,0.011246062118823,50,0,0,0
2.4,6.039765042265e-15,3.1486445432001,1.9182111411428e-15,0.2,0.024379914714296,0.01172908626752,0.025181956697149,0.012288416818625,50,0,0,0
2.6,6.5434311614931e-15,3.2459796697682,2.0158570993023e-15,0.2,0.026606431290323,0.012807976486868,0.027388040296115,0.013416113983175,50,0,0,0
2.8,7.911097991975e-15,3.5575870601285,2.2237257608221e-15,0.2,0.028795244559533,0.013886536834904,0.029531187841989,0.014476432269637,50,0,0,0
3,9.8196190762012e-15,4.0492237534789,2.4250621042526e-15,0.2,0.030889135521276,0.014967247523029,0.031630670571861,0.015496006627366,50,0,0,0
3.2,1.0925396871919e-14,4.5481585123669,2.4021583333589e-15,0.2,0.033036660623016,0.016048782480475,0.033790416038032,0.016572263747279,50,0,0,0
3.4,1.1568382970312e-14,4.9048784692294,2.3585463009707e-15,0.2,0.035244898006772,0.017131551543702,0.035969938205991,0.017670241823032,50,0,0,0
3.6,1.26670592418e-14,5.0814078656939,2.492824740033e-15,0.2,0.037398587359912,0.018215687099594,0.038100863444419,0.018716854793141,50,0,0,0
3.8,1.4604853784683e-14,4.3320442832909,3.371353760398e-15,0.2,0.039522319425104,0.019300688345395,0.040231024256226,0.019763295841474,50,0,0,0
4,9.2672668584176e-14,0.79400037063993,1.1671615280165e-13,0.2,0.041696829010954,0.020387179448956,0.042400495424839,0.020847620219597,50,0,0,0
4.2,5.7045869221971e-12,0.66209159647487,8.6160086498147e-12,0.2,0.043883771634554,0.021474489354146,0.0445629898218,0.021924194576857,50,0,0,0
4.4,2.2373827009842e-10,0.63836196441998,3.5048809698696e-10,0.2,0.046030464959107,0.022563218379683,0.046701223460088,0.022973552445679,50,0,0,0
4.6,4.9457912096275e-09,0.61138994169175,8.0894219423077e-09,0.2,0.048179846482475,0.023652962132191,0.048863226943283,0.024036057393938,50,0,0,0
4.8,6.4963192417458e-08,0.57875768584999,1.1224592606844e-07,0.2,0.05036132868986,0.024744628333563,0.051078732796181,0.025115508021496,50,0,0,0
5,5.3108728028869e-07,0.53935979069644,9.8466235238435e-07,0.2,0.052532969501937,0.025839055867252,0.053380268897092,0.026177891743586,50,0,0,0
5.2,2.7896820559843e-06,0.49166781989704,5.6739162969187e-06,0.2,0.054675792714439,0.026935430205345,0.055898725405745,0.027232153176261,50,0,0,0
5.4,9.5924625990746e-06,0.43382883025284,2.211116903753e-05,0.2,0.056809011364568,0.028026145404712,0.058838050041291,0.028312371492422,50,0,0,0
5.6,2.1812497422492e-05,0.36454450670367,5.9834936534162e-05,0.2,0.058920376673313,0.029104213703552,0.062354271026087,0.029410573949505,50,0,0,0
5.8,3.3356503269471e-05,0.28620308298804,0.0001165483716011,0.2,0.061004322141204,0.030176700680579,0.066464636969318,0.030497039205045,50,0,0,0
6,3.6959055553318e-05,0.21170538784348,0.00017457777494375,0.2,0.063126773007585,0.031248757391076,0.070999781109795,0.031589136597703,50,0,0,0
6.2,3.6893848470399e-05,0.1645605940812,0.00022419613077111,0.2,0.065335078512787,0.032305736827947,0.075633942519531,0.032715828343471,50,0,0,0
6.4,4.0350325865225e-05,0.14762596534428,0.00027332810844708,0.2,0.067573129239431,0.033339633989323,0.080067006059881,0.033861508032385,50,0,0,0
