time,Fy,Jint,external_moose,external_work,fracture_energy,kinetic_energy,max_disp_y,strain_energy
0,0,0,0,0,0,0,0,0
5e-07,62.444702597784,3.0493186101155e-20,0.0048536029712028,0.0051525294498296,0,0.00094034744049099,4.2387469890174e-05,0.0027151930777295
1e-06,111.83963239527,3.8489177123235e-18,0.01522764334521,0.018646484824013,0,0.0051396113255951,0.00010583164914785,0.0091937525517467
1.5e-06,99.660491964648,1.2442033080901e-15,0.02591681466223,0.029140028963392,0,0.010639554174547,0.00016175922593252,0.01406841906184
2e-06,97.505440698801,1.6012739094753e-13,0.036989714231028,0.040107819550825,0,0.016148840161498,0.00022038354777807,0.019650974363949
2.5e-06,102.25023281667,1.0775879158171e-11,0.048173022864765,0.051551031239488,0,0.021670742891445,0.00027891661137985,0.025196864116193
3e-06,98.775559646742,4.2226815804864e-10,0.059006512804732,0.062358743715447,0,0.02720498820392,0.00033635292020939,0.030500920435775
3.5e-06,100.16328668943,1.0290103606551e-08,0.070173977759335,0.073611970484177,0,0.032750030637331,0.00039495157980754,0.036095123793568
4e-06,100.36456334465,1.6261849342775e-07,0.081223721896405,0.084734876628615,0,0.038305174856859,0.00045283209897609,0.041534062284764
4.5e-06,99.509470871892,1.7117140923455e-06,0.092249233025943,0.095792968683899,0,0.043869919956986,0.00051086883472393,0.047001814416555
5e-06,100.26076546017,1.219371336287e-05,0.10337533339988,0.10699820410156,0,0.049441389390286,0.00056910572606168,0.052535464508343
5.5e-06,99.933750581706,5.9278749957001e-05,0.11443525998091,0.11810916956006,0,0.055006467321607,0.00062705011801552,0.05803465670505
6e-06,99.886813441823,0.00019753801078552,0.12553081317165,0.12926053289236,0,0.060524921104743,0.00068518211668551,0.063661532459356
6.5e-06,100.09684686315,0.00045528073382055,0.13664413959463,0.14043855901087,0,0.06592166440199,0.00074327742892931,0.069459835276849
7e-06,99.910843403432,0.00075154979315442,0.1477418009373,0.15158955880349,0,0.071127197362344,0.00080131878874452,0.075464334717033
7.5e-06,99.990820951649,0.00098121385195125,0.15886593429821,0.16277397884797,6.6429595214254e-05,0.076146010043954,0.00085946325509019,0.081584208387212
8e-06,100.00628265239,0.0011819495142908,0.16999136962753,0.17395845418885,0.00022808845682553,0.081060983833246,0.00091765521323359,0.087471533168621
8.5e-06,99.952941977188,0.0014111474778689,0.18112109325824,0.18514498227785,0.00042772649373744,0.085860328760041,0.00097613966746117,0.093640529305226
9e-06,100.00719632779,0.0016375725894881,0.19226243505244,0.19634603240765,0.00065407440895062,0.090535144884336,0.0010354445814018,0.09993642474491
9.5e-06,100.00109553987,0.0018664148308609,0.20339651816683,0.2075370982554,0.00095540942070741,0.095103064143092,0.0010967340656624,0.10628474240056
1e-05,100.02511291105,0.0020968138407581,0.21450133420956,0.21869414931821,0.0013640942098985,0.099619627534282,0.0011624808453403,0.11248109874107
1.05e-05,100.09191694689,0.0023194904331303,0.22548837174895,0.22971590513177,0.0018187143699762,0.10435695005717,0.0012369809286804,0.11817746271972
1.1e-05,100.15702970526,0.0025426835610146,0.23614529828971,0.24036377207322,0.0022927593079022,0.10997796471921,0.0013266260503486,0.12242475597431
1.15e-05,100.25621182511,0.0027618551415439,0.24613171995976,0.2502875535199,0.0028411990103974,0.11766463848362,0.0014390183959022,0.12377960766766
1.2e-05,100.33446696309,0.0029839629169552,0.25517664643929,0.25929720407103,0.0035065188568534,0.12852550908793,0.0015803618022126,0.1214354177203
1.25e-05,100.3388499251,0.0032115021003589,0.26353863096264,0.26788154465996,0.0043036632026804,0.14227753531074,0.0017516113892998,0.11671902566879
1.3e-05,100.24831296633,0.003444239213215,0.2722034219772,0.2772363620243,0.005252839467452,0.15674384981258,0.0019453325750393,0.11236911966957
1.35e-05,100.08171573172,0.0036766322395217,0.28219471440844,0.28820811213463,0.0063586804701918,0.17000207616377,0.0021463604873037,0.10924790728286
1.4e-05,99.955193890904,0.0039051159013477,0.29353976899769,0.30026009138232,0.007621991815625,0.1827189395575,0.0023378618026008,0.10551531590172
1.45e-05,99.980094291615,0.0041315341835686,0.30529307878866,0.31209654346228,0.0090169328780382,0.19630832560004,0.002510250118012,0.10065562100938
1.5e-05,100.1342753007,0.0043594835095681,0.3165080377366,0.32297038656997,0.010501776298655,0.21004903756385,0.0026665914065443,0.096376681114313
1.55e-05,100.2539637313,0.0045925220654095,0.32677889464942,0.33288341316236,0.012013359194944,0.22298410072768,0.0028191859316147,0.092675527582299
