time,DJ,DJ_box,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-5.9159932638138e-05,7.9809990062461e-10,-5.9159932638138e-05,-2.0861997115478e-19,7.9809990062461e-10,7.1441106499863e-26,0.00027295716349275,1.270603698128e-09,-179.48159990864,0.058903196989115,0.031017680466375,0.0097773185523963,0.02065493382942,179.48159990864
1,0.0003774457992579,1.1632980716947e-07,-0.00074082468830481,0.0011182704875627,1.1358607029166e-07,2.7437368778139e-09,-0.00040206535362927,1.851568435753e-07,5.7246602817443,0.058890787111846,0.031017680469182,0.010386875428735,0.012554992303945,-5.7246602817443
1.5,-0.00045452783532974,3.4612440159496e-06,-0.0005938467500465,0.00013931891471676,3.2233156177027e-06,2.3792839824689e-07,-0.00031823872927438,5.4183460680693e-06,6.057530418501,0.058877753532363,0.031017682829755,0.0086994595513543,0.0097324376580607,-6.057530418501
2,0.00029188723539643,3.6939839492881e-05,-0.00042447633282547,0.0007163635682219,3.1281950951395e-05,5.6578885414855e-06,-0.00016665057534798,5.4949617405822e-05,-4.9881392855763,0.058893133705808,0.031017924415878,0.0074221381165632,0.0084672686222711,4.9881392855763
2.5,-6.5390553135159e-05,0.00017656927012468,-0.00036488467881912,0.00029949412568396,0.00012296430948933,5.360496063535e-05,-5.0209013005976e-05,0.00023305969477846,0.13768639932344,0.058895441828065,0.031022859978501,0.0059176008205871,0.0084582316833333,-0.13768639932345
3,0.00053735718410832,0.00042239127204024,-0.0003333520843958,0.00087070926850412,0.00018719891216791,0.00023519235987233,5.9258389224735e-05,0.00042857745351312,-1.9270282480423,0.058901974617127,0.031055887932848,0.0040620245503306,0.0089711851794404,1.9270282480423
3.5,0.00053373687286842,0.00060151431246632,-0.00035560087230633,0.00088933774517475,3.1735811794242e-05,0.00056977850067208,-1.8244355527027e-05,0.00028831925897484,-3.4877670629714,0.058907592469067,0.031116133360366,0.0034010897712927,0.0078907579788292,3.4877670629714
4,0.00076729897399,0.0006578884515564,-0.00029741776984987,0.0010647167438399,-0.00013921718193087,0.00079710563348727,-0.00011179232906487,-1.9555601944938e-05,-7.4921558086723,0.058911467800583,0.031127191723216,0.0041147218901631,0.0063119620165842,7.4921558086723
4.5,0.00053339997020259,0.00055983117861605,-0.00018786654841046,0.00072126651861306,1.6157363194598e-05,0.00054367381542145,-8.5975015243706e-05,2.4903097780402e-05,-15.539060815454,0.058914833286465,0.031136229397294,0.0038100129906282,0.0064891402796606,15.539060815454
